idx,매물ID,상세링크,error
301,41138193,https://fem.encar.com/cars/detail/41138193?advClickPosition=mweb_mhightlight_g51_t49382&listAdvType=mhighlight&type=detail&view_type=checked,"Message: tab crashed
  (Session info: chrome=145.0.7632.160)
"
302,40998531,https://fem.encar.com/cars/detail/40998531?advClickPosition=mweb_mhightlight_g52_t49382&listAdvType=mhighlight&type=detail&view_type=normal,"Message: tab crashed
  (Session info: chrome=145.0.7632.160)
"
303,40856398,https://fem.encar.com/cars/detail/40856398?advClickPosition=mweb_mhightlight_g53_t49382&listAdvType=mhighlight&type=detail&view_type=checked,"Message: tab crashed
  (Session info: chrome=145.0.7632.160)
"
304,40937046,https://fem.encar.com/cars/detail/40937046?advClickPosition=mweb_mhightlight_g54_t49382&listAdvType=mhighlight&type=detail&view_type=checked,"Message: tab crashed
  (Session info: chrome=145.0.7632.160)
"
305,40881742,https://fem.encar.com/cars/detail/40881742?advClickPosition=mweb_mhightlight_g55_t49382&listAdvType=mhighlight&type=detail&view_type=checked,"Message: tab crashed
  (Session info: chrome=145.0.7632.160)
"
306,41264951,https://fem.encar.com/cars/detail/41264951?advClickPosition=mweb_mhightlight_g56_t49382&listAdvType=mhighlight&type=detail&view_type=checked,"Message: tab crashed
  (Session info: chrome=145.0.7632.160)
"
307,41268938,https://fem.encar.com/cars/detail/41268938?advClickPosition=mweb_mhightlight_g57_t49382&listAdvType=mhighlight&type=detail&view_type=checked,"Message: tab crashed
  (Session info: chrome=145.0.7632.160)
"
308,41266712,https://fem.encar.com/cars/detail/41266712?advClickPosition=mweb_mhightlight_g58_t49382&listAdvType=mhighlight&type=detail&view_type=normal,"Message: tab crashed
  (Session info: chrome=145.0.7632.160)
"
309,41234748,https://fem.encar.com/cars/detail/41234748?advClickPosition=mweb_mhightlight_g59_t49382&listAdvType=mhighlight&type=detail&view_type=checked,"Message: tab crashed
  (Session info: chrome=145.0.7632.160)
"
310,41229285,https://fem.encar.com/cars/detail/41229285?advClickPosition=mweb_mhightlight_g60_t49382&listAdvType=mhighlight&type=detail&view_type=checked,"Message: tab crashed
  (Session info: chrome=145.0.7632.160)
"
311,41228298,https://fem.encar.com/cars/detail/41228298?advClickPosition=mweb_mhightlight_g61_t49382&listAdvType=mhighlight&type=detail&view_type=checked,"Message: tab crashed
  (Session info: chrome=145.0.7632.160)
"
312,41215714,https://fem.encar.com/cars/detail/41215714?advClickPosition=mweb_mhightlight_g62_t49382&listAdvType=mhighlight&type=detail&view_type=checked,"Message: tab crashed
  (Session info: chrome=145.0.7632.160)
"
313,41268555,https://fem.encar.com/cars/detail/41268555?advClickPosition=mweb_mhightlight_g63_t49382&listAdvType=mhighlight&type=detail&view_type=checked,"Message: tab crashed
  (Session info: chrome=145.0.7632.160)
"
314,41243643,https://fem.encar.com/cars/detail/41243643?advClickPosition=mweb_mhightlight_g64_t49382&listAdvType=mhighlight&type=detail&view_type=checked,"Message: tab crashed
  (Session info: chrome=145.0.7632.160)
"
315,41269652,https://fem.encar.com/cars/detail/41269652?advClickPosition=mweb_mhightlight_g65_t49382&listAdvType=mhighlight&type=detail&view_type=checked,"Message: tab crashed
  (Session info: chrome=145.0.7632.160)
"
316,41216724,https://fem.encar.com/cars/detail/41216724?advClickPosition=mweb_mhightlight_g66_t49382&listAdvType=mhighlight&type=detail&view_type=checked,"Message: tab crashed
  (Session info: chrome=145.0.7632.160)
"
317,41213137,https://fem.encar.com/cars/detail/41213137?advClickPosition=mweb_mhightlight_g67_t49382&listAdvType=mhighlight&type=detail&view_type=checked,"Message: tab crashed
  (Session info: chrome=145.0.7632.160)
"
318,41327438,https://fem.encar.com/cars/detail/41327438?advClickPosition=mweb_mhightlight_g68_t49382&listAdvType=mhighlight&type=detail&view_type=normal,"Message: tab crashed
  (Session info: chrome=145.0.7632.160)
"
319,41325795,https://fem.encar.com/cars/detail/41325795?advClickPosition=mweb_mhightlight_g69_t49382&listAdvType=mhighlight&type=detail&view_type=normal,"Message: tab crashed
  (Session info: chrome=145.0.7632.160)
"
320,41313546,https://fem.encar.com/cars/detail/41313546?advClickPosition=mweb_mhightlight_g70_t49382&listAdvType=mhighlight&type=detail&view_type=normal,"Message: tab crashed
  (Session info: chrome=145.0.7632.160)
"
321,41291299,https://fem.encar.com/cars/detail/41291299?advClickPosition=mweb_mhightlight_g71_t49382&listAdvType=mhighlight&type=detail&view_type=checked,"Message: tab crashed
  (Session info: chrome=145.0.7632.160)
"
322,41289961,https://fem.encar.com/cars/detail/41289961?advClickPosition=mweb_mhightlight_g72_t49382&listAdvType=mhighlight&type=detail&view_type=checked,"Message: tab crashed
  (Session info: chrome=145.0.7632.160)
"
323,41285343,https://fem.encar.com/cars/detail/41285343?advClickPosition=mweb_mhightlight_g73_t49382&listAdvType=mhighlight&type=detail&view_type=normal,"Message: tab crashed
  (Session info: chrome=145.0.7632.160)
"
324,41283605,https://fem.encar.com/cars/detail/41283605?advClickPosition=mweb_mhightlight_g74_t49382&listAdvType=mhighlight&type=detail&view_type=checked,"Message: tab crashed
  (Session info: chrome=145.0.7632.160)
"
