매물ID,브랜드,제조사,모델,등급명,세부트림,차량명,현재가격_만원,가격로그,연식,차량연령,주행거리_km,주행거리_로그,연료,변속기,색상,지역,차급,배기량_cc,좌석수,압류건수,저당건수,보험이력건수,보험이력_여부,교환_개수,판금_개수,부식_여부,교환_여부,판금_여부,외판수리_여부,사고강도점수,사고종합_여부,중대사고_추정,부식_위험,옵션_기본코드개수,옵션_선택코드개수,옵션_튜닝코드개수,옵션_기타개수,엔카진단여부값,엔카믿고값,조회수,찜수
40889559,르노,르노코리아(삼성),더 뉴 SM6,1.8 TCe LE,,더 뉴 SM6 1.8 TCe LE,1600,7.378383712996715,2021,5,44968,10.713728642470588,가솔린,오토,쥐색,경기,중형차,1798,5.0,0.0,0.0,,,,,1.0,,,,,,,1.0,33,0,0,0,1,0,331.0,14.0
40838690,르노,르노코리아(삼성),SM5 노바,SE,,SM5 노바 SE,360,5.8888779583328805,2015,11,128868,11.766551663494434,가솔린,오토,검정색,인천,중형차,1998,5.0,0.0,0.0,,,,,1.0,,,,,,,1.0,34,2,0,2,1,0,146.0,29.0
41167944,르노,르노코리아(삼성),QM3,LE,,QM3 LE,740,6.608000625296087,2016,10,82443,11.319874553963189,디젤,오토,쥐색,충북,SUV,1461,5.0,0.0,0.0,,,,,1.0,,,,,,,1.0,26,0,0,1,1,0,95.0,3.0
41356443,르노,르노코리아(삼성),XM3,1.6 E-TECH 인스파이어 디자인 패키지,,XM3 1.6 E-TECH 인스파이어 디자인 패키지,2220,7.7057128238944275,2024,2,59415,10.992318829349133,가솔린+전기,오토,청옥색,경기,SUV,1598,5.0,0.0,0.0,,,,,1.0,,,,,,,1.0,42,1,0,0,1,0,916.0,9.0
41300938,르노,르노코리아(삼성),아르카나,1.6 GTe 아이코닉,,아르카나 1.6 GTe 아이코닉,2130,7.664346632098617,2025,1,20327,9.919754525,가솔린,오토,검정색,서울,SUV,1598,5.0,0.0,0.0,,,,,1.0,,,,,,,1.0,43,2,0,0,1,0,260.0,22.0
41108475,르노,르노코리아(삼성),뉴QM5,디젤 2WD LE,,뉴QM5 디젤 2WD LE,329,5.799092654460526,2014,12,155258,11.952849969129964,디젤,오토,쥐색,인천,SUV,1995,5.0,0.0,0.0,,,,,1.0,,,,,,,1.0,29,0,0,0,0,0,197.0,8.0
41049032,르노,르노코리아(삼성),All New SM7,LE,기본형,All New SM7 LE 기본형,320,5.771441123130016,2014,12,186584,12.136642178312174,가솔린,오토,검정색,경기,대형차,2495,5.0,0.0,0.0,,,,,1.0,,,,,,,1.0,38,2,0,1,0,-1,921.0,11.0
41038775,르노,르노코리아(삼성),SM6,2.0 LPe LE (장애인용),,SM6 2.0 LPe LE (장애인용),580,6.364750756851911,2017,9,225321,12.325285769234124,LPG(일반인 구입),오토,검정색,부산,중형차,1997,5.0,0.0,0.0,,,,,1.0,,,,,,,1.0,40,0,0,1,-1,-1,274.0,3.0
41166368,르노,르노코리아(삼성),SM7 New Art,프레스티지,,SM7 New Art 프레스티지,290,5.673323267171493,2009,17,101769,11.530470644185977,가솔린,오토,흰색,대전,대형차,2349,5.0,0.0,0.0,,,,,1.0,,,,,,,1.0,31,1,0,0,-1,-1,653.0,6.0
41143913,르노,르노코리아(삼성),더 뉴 SM6,1.8 TCe LE,,더 뉴 SM6 1.8 TCe LE,1390,7.237778191923443,2021,5,56211,10.936885536220636,가솔린,오토,쥐색,경기,중형차,1798,5.0,0.0,0.0,,,,,1.0,,,,,,,1.0,44,4,0,0,-1,-1,2238.0,19.0
41156722,르노,르노코리아(삼성),QM3,RE,,QM3 RE,580,6.364750756851911,2015,11,133160,11.799314201423456,디젤,오토,진주색,대구,SUV,1461,5.0,0.0,0.0,,,,,1.0,,,,,,,1.0,28,0,0,0,0,-1,174.0,1.0
39283720,르노,르노코리아(삼성),더 뉴 QM6,2.0 GDe LE 2WD,,더 뉴 QM6 2.0 GDe LE 2WD,1399,7.24422751560335,2021,5,65029,11.082603980863198,가솔린,오토,흰색,경기,SUV,1997,5.0,0.0,0.0,,,,,1.0,,,,,,,1.0,38,3,0,0,-1,-1,1257.0,2.0
41483083,르노,르노코리아(삼성),뉴SM3,LE,,뉴SM3 LE,250,5.5254529391317835,2014,12,138136,11.836001225308548,가솔린,오토,흰색,광주,준중형차,1598,5.0,0.0,0.0,,,,,1.0,,,,,,,1.0,27,2,0,1,-1,-1,186.0,5.0
41467814,르노,르노코리아(삼성),XM3,1.3 TCe RE 시그니처,,XM3 1.3 TCe RE 시그니처,9990,9.20943996673302,2022,4,65926,11.096303348266057,가솔린,오토,흰색,서울,SUV,1332,5.0,0.0,0.0,,,,,1.0,,,,,,,1.0,42,4,0,0,0,-1,460.0,3.0
41315719,르노,르노코리아(삼성),SM6,2.0 LPe SE,,SM6 2.0 LPe SE,1160,7.057036981697891,2020,6,56846,10.948118727337723,LPG(일반인 구입),오토,쥐색,경기,중형차,1998,5.0,0.0,0.0,,,,,1.0,,,,,,,1.0,35,2,0,0,0,-1,32.0,3.0
41587295,르노,르노코리아(삼성),QM6,가솔린 2WD LE,,QM6 가솔린 2WD LE,1099,7.003065458786462,2018,8,125829,11.742687068586012,가솔린,오토,흰색,경기,SUV,1997,5.0,0.0,0.0,,,,,1.0,,,,,,,1.0,30,1,0,0,-1,-1,34.0,0.0
41385305,르노,르노코리아(삼성),뉴SM3,RE,,뉴SM3 RE,230,5.442417710521793,2011,15,141724,11.861643839192505,가솔린,오토,검정색,경기,준중형차,1598,5.0,0.0,0.0,,,,,1.0,,,,,,,1.0,29,1,0,0,0,-1,170.0,3.0
40511208,르노,르노코리아(삼성),뉴SM5 플래티넘,PE,,뉴SM5 플래티넘 PE,290,5.673323267171493,2014,12,113293,11.637741488861854,가솔린,오토,은색,경기,중형차,1998,5.0,0.0,0.0,,,,,1.0,,,,,,,1.0,23,0,0,0,0,-1,10.0,1.0
41122559,르노,르노코리아(삼성),뉴SM3,LE 익스클루시브,,뉴SM3 LE 익스클루시브,290,5.673323267171493,2012,14,128230,11.761588603909846,가솔린,오토,흰색,울산,준중형차,1598,5.0,0.0,0.0,,,,,1.0,,,,,,,1.0,26,0,0,0,1,0,140.0,16.0
40684675,르노,르노코리아(삼성),뉴SM5(신형),RE,,뉴SM5(신형) RE,250,5.5254529391317835,2011,15,114575,11.64899363724672,가솔린,오토,흰색,부산,중형차,1998,5.0,0.0,0.0,,,,,1.0,,,,,,,1.0,38,5,0,0,0,-1,405.0,11.0
39926520,르노,르노코리아(삼성),마스터,캠핑카/이동사무차,,마스터 캠핑카/이동사무차,2590,7.85979918056211,2019,7,40089,10.598882205636553,디젤,오토,흰색,경기,RV,2299,3.0,0.0,0.0,,,,,1.0,,,,,,,1.0,13,0,0,0,0,0,802.0,5.0
40660109,르노,르노코리아(삼성),SM7 노바,3.5 V6,,SM7 노바 3.5 V6,1049,6.956545443151569,2017,9,93491,11.445631150118858,가솔린,오토,쥐색,경기,대형차,3498,5.0,0.0,0.0,,,,,1.0,,,,,,,1.0,44,0,0,0,1,0,1437.0,3.0
40642570,르노,르노코리아(삼성),뉴QM3,RE,,뉴QM3 RE,899,6.802394763324311,2018,8,83883,11.33719017105101,디젤,오토,하늘색,서울,SUV,1461,5.0,0.0,0.0,,,,,1.0,,,,,,,1.0,31,0,0,0,1,0,316.0,30.0
41556496,르노,르노코리아(삼성),SM6,2.0 GDe LE,,SM6 2.0 GDe LE,930,6.836259277277067,2016,10,74068,11.21275237017366,가솔린,오토,흰색,광주,중형차,1997,5.0,0.0,0.0,,,,,1.0,,,,,,,1.0,43,5,0,0,0,0,81.0,1.0
41495486,르노,르노코리아(삼성),XM3,1.3 TCe RE,,XM3 1.3 TCe RE,1680,7.427144133408616,2021,5,24078,10.089095370321234,가솔린,오토,쥐색,부산,SUV,1332,5.0,0.0,0.0,,,,,1.0,,,,,,,1.0,37,3,0,0,1,0,1358.0,5.0
38860862,르노,르노코리아(삼성),SM6,2.0 LPe SE (장애인용),,SM6 2.0 LPe SE (장애인용),680,6.523562306149512,2016,10,106092,11.57207134693078,LPG(일반인 구입),오토,쥐색,대전,중형차,1998,5.0,0.0,0.0,,,,,1.0,,,,,,,1.0,32,0,0,1,0,-1,622.0,4.0
38362963,르노,르노코리아(삼성),SM7 노바,LPLI 2.0 LPe 장애인용,,SM7 노바 LPLI 2.0 LPe 장애인용,750,6.621405651764134,2019,7,126877,11.75098127381884,LPG(일반인 구입),오토,검정색,경기,대형차,1998,5.0,0.0,0.0,,,,,1.0,,,,,,,1.0,36,0,0,0,-1,-1,454.0,2.0
38290614,르노,르노코리아(삼성),뉴SM5 플래티넘,1.6 TCE,기본형,뉴SM5 플래티넘 1.6 TCE 기본형,230,5.442417710521793,2013,13,155912,11.957053438355784,가솔린,오토,검정색,경기,중형차,1618,5.0,0.0,0.0,,,,,1.0,,,,,,,1.0,31,3,0,0,0,-1,151.0,3.0
41353683,르노,르노코리아(삼성),뉴SM5 플래티넘,LPLi SE 플러스,,뉴SM5 플래티넘 LPLi SE 플러스,320,5.771441123130016,2014,12,118019,11.67860938061116,LPG(일반인 구입),오토,쥐색,대전,중형차,1998,5.0,0.0,0.0,,,,,1.0,,,,,,,1.0,27,0,0,0,-1,-1,690.0,5.0
41218824,르노,르노코리아(삼성),SM6,2.0 GDe LE,,SM6 2.0 GDe LE,688,6.535241271013659,2017,9,145457,11.887642664129611,가솔린,오토,흰색,대구,중형차,1997,5.0,0.0,0.0,,,,,1.0,,,,,,,1.0,40,3,0,0,0,-1,173.0,2.0
41216840,르노,르노코리아(삼성),SM5 노바,LPLi LE,,SM5 노바 LPLi LE,490,6.19644412779452,2015,11,90749,11.415863752127096,LPG(일반인 구입),오토,흰색,광주,중형차,1998,5.0,0.0,0.0,,,,,1.0,,,,,,,1.0,33,0,0,0,-1,-1,333.0,4.0
41316802,르노,르노코리아(삼성),뉴SM5 플래티넘,RE,기본형,뉴SM5 플래티넘 RE 기본형,190,5.25227342804663,2013,13,228641,12.339912740501225,가솔린,오토,흰색,경기,중형차,1998,5.0,0.0,0.0,,,,,1.0,,,,,,,1.0,42,5,0,1,-1,-1,80.0,1.0
40814583,르노,르노코리아(삼성),SM5,SM520V,,SM5 SM520V,180,5.198497031265826,1998,28,149815,11.917163153440343,가솔린,오토,흰색,경기,중형차,1995,5.0,0.0,0.0,,,,,1.0,,,,,,,1.0,18,0,0,0,-1,-1,923.0,8.0
40644944,르노,르노코리아(삼성),SM7 노바,LPLI 2.0 LPe 장애인용,,SM7 노바 LPLI 2.0 LPe 장애인용,670,6.508769136971682,2016,10,69562,11.14998809577284,LPG(일반인 구입),오토,쥐색,경기,대형차,1998,5.0,0.0,0.0,,,,,1.0,,,,,,,1.0,36,0,0,2,0,-1,777.0,9.0
40645593,르노,르노코리아(삼성),SM7 New Art,SE 플레져,,SM7 New Art SE 플레져,170,5.14166355650266,2011,15,173689,12.065027380048058,가솔린,오토,흰색,경기,대형차,2349,5.0,0.0,0.0,,,,,1.0,,,,,,,1.0,27,0,0,0,0,-1,988.0,15.0
41577333,르노,르노코리아(삼성),SM7 노바,RE35,,SM7 노바 RE35,585,6.373319789577012,2015,11,126527,11.748218906530289,가솔린,오토,쥐색,대구,대형차,3498,5.0,0.0,0.0,,,,,1.0,,,,,,,1.0,45,0,0,0,0,-1,465.0,10.0
41573542,르노,르노코리아(삼성),더 뉴 QM6,2.0 GDe RE 시그니처 2WD,,더 뉴 QM6 2.0 GDe RE 시그니처 2WD,1340,7.201170883281678,2020,6,119581,11.691757607499914,가솔린,오토,흰색,경기,SUV,1997,5.0,0.0,0.0,,,,,1.0,,,,,,,1.0,46,3,0,0,0,-1,333.0,3.0
41576208,르노,르노코리아(삼성),QM3,RE 시그니처,,QM3 RE 시그니처,529,6.272877006546167,2017,9,78048,11.265092113561693,디젤,오토,흰색,경기,SUV,1461,5.0,0.0,0.0,,,,,1.0,,,,,,,1.0,24,0,0,0,0,-1,1283.0,7.0
40867680,르노,르노코리아(삼성),뉴SM3,SE 플러스,,뉴SM3 SE 플러스,210,5.351858133476067,2014,12,137487,11.831291919553005,가솔린,오토,쥐색,부산,준중형차,1598,5.0,0.0,0.0,,,,,1.0,,,,,,,1.0,23,0,0,0,-1,-1,61.0,1.0
41527633,르노,르노코리아(삼성),QM3,RE,,QM3 RE,630,6.447305862541213,2015,11,58393,10.974968423812204,디젤,오토,주황색,인천,SUV,1461,5.0,0.0,0.0,,,,,1.0,,,,,,,1.0,26,0,0,0,1,0,221.0,7.0
41490099,르노,르노코리아(삼성),마스터,어린이 보호차,15인승,마스터 어린이 보호차 15인승,3540,8.172164452111904,2020,6,49976,10.819318178577827,디젤,수동,노란색,인천,승합차,2299,15.0,0.0,0.0,,,,,1.0,,,,,,,1.0,18,0,0,0,1,0,266.0,1.0
41559523,르노,르노코리아(삼성),SM7 노바,LPLI 2.0 LPe 장애인용,,SM7 노바 LPLI 2.0 LPe 장애인용,480,6.175867270105761,2016,10,148033,11.905197256092148,LPG(일반인 구입),오토,검정색,인천,대형차,1998,5.0,0.0,0.0,,,,,1.0,,,,,,,1.0,31,0,0,0,1,0,186.0,2.0
41566678,르노,르노코리아(삼성),조에,인텐스,,조에 인텐스,1650,7.409136443920128,2021,5,42082,10.647399137646048,전기,오토,검정색,경기,소형차,156,5.0,0.0,0.0,,,,,1.0,,,,,,,1.0,33,0,0,0,1,0,513.0,5.0
40399379,르노,르노코리아(삼성),SM6,2.0 GDe LE,,SM6 2.0 GDe LE,790,6.673297967767654,2016,10,93992,11.45097559039415,가솔린,오토,흰색,부산,중형차,1997,5.0,0.0,0.0,,,,,1.0,,,,,,,1.0,37,2,0,0,1,0,293.0,26.0
40715597,르노,르노코리아(삼성),QM6,가솔린 2WD RE 시그니처,,QM6 가솔린 2WD RE 시그니처,1590,7.372118028337787,2019,7,88389,11.389514120054994,가솔린,오토,흰색,부산,SUV,1997,5.0,0.0,0.0,,,,,1.0,,,,,,,1.0,44,4,0,0,1,0,224.0,9.0
41196463,르노,르노코리아(삼성),SM6,2.0 GDe LE,,SM6 2.0 GDe LE,870,6.769641976852503,2016,10,57650,10.962162871600537,가솔린,오토,쥐색,서울,중형차,1997,5.0,0.0,0.0,,,,,1.0,,,,,,,1.0,40,2,0,0,1,0,200.0,22.0
41355273,르노,르노코리아(삼성),더 뉴 QM6,2.0 LPe LE 시그니처 2WD,,더 뉴 QM6 2.0 LPe LE 시그니처 2WD,1380,7.2305631534092925,2022,4,118347,11.681384715771031,LPG(일반인 구입),오토,흰색,충남,SUV,1998,5.0,0.0,0.0,,,,,1.0,,,,,,,1.0,42,3,0,0,1,0,1020.0,21.0
41140741,르노,르노코리아(삼성),SM7 노바,LPLI 2.0 LPe 장애인용,,SM7 노바 LPLI 2.0 LPe 장애인용,690,6.53813982376767,2017,9,91487,11.42396309512204,LPG(일반인 구입),오토,쥐색,인천,대형차,1998,5.0,0.0,0.0,,,,,1.0,,,,,,,1.0,37,0,0,2,1,0,331.0,11.0
41135333,르노,르노코리아(삼성),더 뉴 QM6,2.0 LPe SE 2WD,,더 뉴 QM6 2.0 LPe SE 2WD,1220,7.107425474110705,2020,6,76258,11.241890720291222,LPG(일반인 구입),오토,검정색,경기,SUV,1998,5.0,0.0,0.0,,,,,1.0,,,,,,,1.0,27,0,0,0,1,0,1450.0,17.0
41247418,르노,르노코리아(삼성),XM3,1.6 GTe LE Plus,,XM3 1.6 GTe LE Plus,1039,6.946975992135418,2020,6,108626,11.595675274365972,가솔린,오토,흰색,인천,SUV,1598,5.0,0.0,0.0,,,,,1.0,,,,,,,1.0,36,2,0,0,-1,-1,160.0,2.0
40979419,르노,르노코리아(삼성),뉴SM3,LE 익스클루시브 BOSE에디션,,뉴SM3 LE 익스클루시브 BOSE에디션,240,5.484796933490655,2012,14,192757,12.169190795103844,가솔린,오토,은회색,부산,준중형차,1598,5.0,0.0,0.0,,,,,1.0,,,,,,,1.0,27,1,0,0,0,-1,205.0,4.0
41620906,르노,르노코리아(삼성),SM6,2.0 LPe SE (장애인용),,SM6 2.0 LPe SE (장애인용),529,6.272877006546167,2016,10,151897,11.93096452194024,LPG(일반인 구입),오토,쥐색,경기,중형차,1998,5.0,0.0,0.0,,,,,1.0,,,,,,,1.0,29,0,0,0,0,-1,54.0,1.0
